Recipe Name,Ingredients,Cuisine,Difficulty Level
Kosha Mangsho,"Mutton, Onion, Tomatoes, Ginger, Garlic, Mustard Oil, Cumin, Coriander, Turmeric, Garam Masala, Red Chili Powder, Salt, Sugar, Bay Leaves, Cinnamon, Cardamom, Cloves",Bengali,Medium
Patra,"Colocasia Leaves, Gram Flour, Tamarind, Ginger, Garlic, Jaggery, Mustard Seeds, Cumin Seeds, Sesame Seeds, Salt, Oil",Gujarati,Medium
Kombdi Vade,"Chicken, Onion, Tomatoes, Ginger, Garlic, Cumin, Coriander, Turmeric, Garam Masala, Red Chili Powder, Salt, Oil, Rice Flour, Urad Dal, Coconut, Curry Leaves",Maharashtrian,Medium
Meen Moilee,"Fish (preferably kingfish), Coconut Milk, Onion, Ginger, Garlic, Green Chili, Curry Leaves, Turmeric, Mustard Seeds, Cumin Seeds, Coriander Powder, Salt, Coconut Oil",Keralite,Easy
Galouti Kebab,"Lamb/Beef Mince, Raw Papaya Paste, Ginger, Garlic, Green Chili, Garam Masala, Cumin, Coriander, Red Chili Powder, Salt, Ghee",Awadhi,Medium
Dhansak,"Chicken/Lamb, Lentils (Toor Dal, Masoor Dal), Vegetables (Pumpkin, Eggplant, Okra, Tomato), Tamarind, Jaggery, Ginger, Garlic, Cumin, Coriander, Turmeric, Garam Masala, Red Chili Powder, Oil",Parsi,Medium
Madra,"Chickpeas, Yogurt, Onion, Garlic, Ginger, Coriander Powder, Cumin Powder, Turmeric, Red Chili Powder, Ghee, Bay Leaf, Cinnamon, Cardamom, Cloves, Salt",Himachali,Easy
Pithla,"Chickpea Flour, Yogurt, Onion, Garlic, Green Chili, Cumin, Mustard Seeds, Turmeric, Coriander Leaves, Salt, Oil",Marathi,Easy
Kachori,"Flour, Yellow Moong Dal, Ginger, Green Chili, Cumin, Coriander, Fennel Seeds, Salt, Oil",Rajasthani,Medium
Misal Pav,"Moth Beans, Onion, Tomatoes, Garlic, Ginger, Cumin, Coriander, Turmeric, Garam Masala, Red Chili Powder, Farsan, Bread/Bun, Oil",Maharashtrian,Easy
Jhal Muri,"Puffed Rice, Onion, Tomatoes, Green Chili, Mustard Oil, Mustard Seeds, Cumin Seeds, Turmeric, Coriander, Mint Leaves, Peanuts, Chopped Vegetables (Cucumber, Carrots, etc.), Lemon Juice, Salt",Bengali,Easy
Rajma Masala,"Kidney Beans, Onion, Tomatoes, Ginger, Garlic, Cumin, Coriander, Turmeric, Garam Masala, Red Chili Powder, Salt, Oil",North Indian,Easy
Dal Baati Churma,"Whole Wheat Flour, Ghee, Water, Salt, Toor Dal, Onion, Tomatoes, Ginger, Garlic, Cumin, Coriander, Turmeric, Garam Masala, Red Chili Powder, Oil",Rajasthani,Medium
Khaman Dhokla,"Gram Flour, Yogurt, Ginger, Green Chili, Baking Soda, Mustard Seeds, Cumin Seeds, Sesame Seeds, Coriander Leaves, Salt, Oil",Gujarati,Easy
Macher Jhol,"Fish (preferably Rohu), Onion, Tomatoes, Ginger, Garlic, Green Chili, Turmeric, Cumin, Coriander, Garam Masala, Mustard Oil, Salt",Bengali,Easy
Poha,"Flattened Rice, Onion, Potato, Peanuts, Green Chili, Curry Leaves, Mustard Seeds, Cumin Seeds, Turmeric, Lemon Juice, Coriander Leaves, Salt, Oil",Maharashtrian,Easy
Malabar Fish Curry,"Fish (preferably Seer or Kingfish), Coconut Milk, Onion, Tomatoes, Ginger, Garlic, Green Chili, Curry Leaves, Turmeric, Mustard Seeds, Cumin Seeds, Coriander Powder, Salt, Coconut Oil",Keralite,Easy
Khichdi,"Rice, Lentils (Moong Dal, Masoor Dal), Vegetables (Potato, Cauliflower, Peas, Carrots), Ginger, Garlic, Cumin, Coriander, Turmeric, Garam Masala, Ghee, Salt",North Indian,Easy
Undhiyu,"Vegetables (Potatoes, Eggplants, Beans, Surati Papdi), Gram Flour, Coconut, Garlic, Ginger, Green Chili, Coriander, Cumin, Mustard Seeds, Sesame Seeds, Turmeric, Salt, Oil",Gujarati,Medium
Biryani,"Basmati Rice, Chicken/Lamb/Beef, Onion, Tomatoes, Ginger, Garlic, Green Chili, Mint Leaves, Coriander Leaves, Ghee, Cumin, Coriander, Turmeric, Garam Masala, Red Chili Powder, Salt, Saffron, Milk",North Indian,Medium
Gobi Manchurian,"Cauliflower, Corn Flour, All Purpose Flour, Ginger, Garlic, Soy Sauce, Vinegar, Red Chili Sauce, Tomato Ketchup, Sugar, Salt, Oil",Indo-Chinese,Medium
Aloo Gobi,"Potatoes, Cauliflower, Onion, Tomato, Ginger, Garlic, Cumin, Coriander, Turmeric, Garam Masala, Red Chili Powder, Salt, Oil",North Indian,Easy
Vada Pav,"Potatoes, Bread/Bun, Ginger, Garlic, Green Chili, Mustard Seeds, Cumin Seeds, Turmeric, Coriander Leaves, Lemon Juice, Salt, Oil",Maharashtrian,Easy
Palak Paneer,"Spinach, Paneer, Onion, Tomato, Ginger, Garlic, Green Chili, Cumin, Coriander, Turmeric, Garam Masala, Cream, Salt, Oil",North Indian,Easy
Dosa,"Rice, Urad Dal, Fenugreek Seeds, Salt, Oil",South Indian,Medium
Chhole Bhature,"Chickpeas, Onion, Tomato, Ginger, Garlic, Green Chili, Cumin, Coriander, Turmeric, Garam Masala, Red Chili Powder, Bhature (Maida Flour, Yogurt, Sugar, Salt), Oil",Punjabi,Medium
Pav Bhaji,"Potatoes, Peas, Carrots, Capsicum, Onion, Tomato, Ginger, Garlic, Green Chili, Pav (Bread/Bun), Butter, Cumin, Coriander, Turmeric, Red Chili Powder, Salt",Maharashtrian,Easy
Butter Chicken,"Chicken, Yogurt, Ginger, Garlic, Green Chili, Tomato, Cream, Butter, Cumin, Coriander, Turmeric, Garam Masala, Red Chili Powder, Salt, Oil",North Indian,Medium
Rasam,"Tomato, Tamarind, Curry Leaves, Cumin, Mustard Seeds, Pepper, Garlic, Ginger, Turmeric, Coriander Leaves, Salt, Oil",South Indian,Easy
